id,title,artist,file_path,duration_ms,item_type,energy_category,last_played_timestamp,intro_duration,outro_duration,music_pool_id,punch_ms,bpm,source_url,year,explicit,verified,is_served,cue_in_ms,cue_out_ms,danceability,energy_score,valence
10162,Wrong Time,Jazz Official,Music/Jazz Official - Wrong Time.mp3,172539,Music,New School,1785425977.0,15000,521,1.0,38452,129,https://music.youtube.com/playlist?list=OLAK5uy_mXGeAtsm-hJUZerr5iw22G9CECeOYm-rs,2026.0,0,0,0,0,0,0.0,0.0,0.0
10181,Return of the Mack,Mark Morrison,Music/Mark Morrison - Return of the Mack.mp3,213133,Music,Unassigned,1785459386.0,12214,3841,3.0,16533,93,https://music.youtube.com/playlist?list=OLAK5uy_kZ_JKm2A7VFd1bKmrjSDbrn9kqHTC-3B4,1996.0,0,1,0,0,0,0.88,0.98,0.0
10217,Let's Stay Together,Al Green,Music/Al Green - Let's Stay Together.mp3,199445,Music,Old School,1785478624.0,12376,7719,7.0,22477,103,https://music.youtube.com/watch?v=EKOcfZtKvYQ,1972.0,0,1,0,0,0,0.76,0.43,0.0
10220,Poison,Bell Biv DeVoe,Music/Bell Biv DeVoe - Poison.mp3,261904,Music,Unassigned,1783770938.0,116,1891,3.0,36525,111,https://music.youtube.com/playlist?list=OLAK5uy_kzqu1g_MvkWzwuDHJUKHa67BoquBsk11g,1990.0,0,1,0,0,0,0.83,0.99,0.0
10221,Anytime,Brian McKnight,Music/Brian McKnight - Anytime.mp3,273476,Music,Throwbacks,1785470842.0,2206,10622,3.0,10519,129,https://music.youtube.com/playlist?list=OLAK5uy_mCvZE-lvmvIpSbWgMJ1q3mlSfo1v1ejp4,1997.0,0,1,0,0,0,0.76,0.97,0.0
10231,Rock Me Tonight For Old Times Sake,Freddie Jackson,Music/Freddie Jackson - Rock Me Tonight For Old Times Sake.mp3,432222,Music,Unassigned,1781750860.0,4342,10250,7.0,10820,144,https://music.youtube.com/watch?v=hSnsv0qKWsI&si=dH9hDMZBo4P6dGvh,1985.0,0,1,0,0,0,0.0,0.0,0.0
10261,Faith (From Sing Original Motion Picture Soundtrack) (feat. Ariana Grande),Stevie Wonder,Music/Stevie Wonder - Faith (From Sing Original Motion Picture Soundtrack) (feat. Ariana Grande).mp3,160940,Music,Unassigned,1785486910.0,24404,1218,1.0,41285,161,https://music.youtube.com/playlist?list=OLAK5uy_kEELF2rbF1btQLf0nTPE93dpfK3IIPbfI,2016.0,0,1,0,0,0,0.0,0.0,0.0
10276,ADBREAK_30000 - 2025 -1,Live365,365 Commercials/30/Live365 - ADBREAK_30000 - 2025 -1.mp3,29757,Commercial,Throwbacks,1781465925.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10277,ADBREAK_30000 - 2025 -2,Live365,365 Commercials/30/Live365 - ADBREAK_30000 - 2025 -2.mp3,29933,Commercial,Throwbacks,1781480037.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10278,ADBREAK_30000 - 2025 -3,Live365,365 Commercials/30/Live365 - ADBREAK_30000 - 2025 -3.mp3,29946,Commercial,Throwbacks,1781469669.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10279,ADBREAK_30000 - 2025 -4,Live365,365 Commercials/30/Live365 - ADBREAK_30000 - 2025 -4.mp3,29613,Commercial,Throwbacks,1781501792.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10281,ADBREAK_60000 - 2025 -1,Live365,365 Commercials/60/Live365 - ADBREAK_60000 - 2025 -1.mp3,59987,Commercial,Throwbacks,1781457894.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10283,ADBREAK_60000 - 2025 -3,Live365,365 Commercials/60/Live365 - ADBREAK_60000 - 2025 -3.mp3,59890,Commercial,Throwbacks,1781420955.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10284,ADBREAK_60000 - 2025 -4,Live365,365 Commercials/60/Live365 - ADBREAK_60000 - 2025 -4.mp3,59998,Commercial,Throwbacks,1781433587.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10285,ADBREAK_60000 - 2025 -5,Live365,365 Commercials/60/Live365 - ADBREAK_60000 - 2025 -5.mp3,59975,Commercial,Throwbacks,1781467204.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10286,ADBREAK_90000 - 2025 -1,Live365,365 Commercials/90/Live365 - ADBREAK_90000 - 2025 -1.mp3,89395,Commercial,Throwbacks,1781449757.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
