Track Name,File Path,Source_URL,duration_ms,item_type,energy_category,Intro_Duration,Punch_Ms,outro_duration,bpm,Bitrate,Lyrics,Year,Art Ratio,Length
Clarence Carter - Slip Away [This Is Clarence Carter],Z:/Classics/Clarence Carter - Slip Away [This Is Clarence Carter].mp3,,153000,Music,,10000,0,20000,0,320,Unknown,1968,1.0,2:33
Smokey Robinson and The Miracles - The Tracks of My Tears [Going to a Go‐Go],Z:/Classics/Smokey Robinson and The Miracles - The Tracks of My Tears [Going to a Go‐Go].mp3,,174000,Music,,10000,0,20000,0,320,Unknown,1965,1.0,2:54
Otis Redding - I’ve Been Loving You Too Long (mono) [Otis Blue_ Otis Redding Sings Soul],Z:/Classics/Otis Redding - I’ve Been Loving You Too Long (mono) [Otis Blue_ Otis Redding Sings Soul].mp3,,181000,Music,,10000,0,20000,0,320,Unknown,2008,1.0,3:01
O.V. Wright - A Nickel and a Nail [A Nickel And A Nail And The Ace Of Spaces],Z:/Classics/O.V. Wright - A Nickel and a Nail [A Nickel And A Nail And The Ace Of Spaces].mp3,,221000,Music,,10000,0,20000,0,320,Unknown,2010,1.0,3:41
The Isley Brothers - It’s Your Thing [It’s Our Thing],Z:/Classics/The Isley Brothers - It’s Your Thing [It’s Our Thing].mp3,,169000,Music,,10000,0,20000,0,320,Unknown,2015,1.0,2:49
Solomon Burke - Cry to Me [Rock ’n Soul],Z:/Classics/Solomon Burke - Cry to Me [Rock ’n Soul].mp3,,154000,Music,,10000,0,20000,0,320,Unknown,1964,1.0,2:34
Linda Jones - Hypnotized [Hypnotized _ I Can’t Stop Lovin’ My Baby],Z:/Classics/Linda Jones - Hypnotized [Hypnotized _ I Can’t Stop Lovin’ My Baby].mp3,,160000,Music,,10000,0,20000,0,320,Unknown,1967,1.0,2:40
Marvin Gaye - I Heard It Through the Grapevine [In the Groove],Z:/Classics/Marvin Gaye - I Heard It Through the Grapevine [In the Groove].mp3,,194000,Music,,10000,0,20000,0,320,Unknown,1968,1.0,3:14
Sam Cooke - A Change Is Gonna Come [30 Greatest Hits_ Portrait of a Legend 1951–1964],Z:/Classics/Sam Cooke - A Change Is Gonna Come [30 Greatest Hits_ Portrait of a Legend 1951–1964].mp3,,193000,Music,,10000,0,20000,0,320,Unknown,1960,1.0,3:13
Wilson Pickett - In the Midnight Hour [The Exciting Wilson Pickett],Z:/Classics/Wilson Pickett - In the Midnight Hour [The Exciting Wilson Pickett].mp3,,157000,Music,,10000,0,20000,0,320,Unknown,1966,1.0,2:37
Little Milton - Grits Ain’t Groceries [Grits Ain’t Groceries],Z:/Classics/Little Milton - Grits Ain’t Groceries [Grits Ain’t Groceries].mp3,,159000,Music,,10000,0,20000,0,320,Unknown,1969,1.0,2:39
Michael Jackson - Billie Jean [Thriller],Z:/Old School 70s80s/Michael Jackson - Billie Jean [Thriller].mp3,,288000,Music,,10000,0,20000,0,320,Unknown,1982,1.0,4:48
New Edition - Candy Girl [Candy Girl],Z:/Old School 70s80s/New Edition - Candy Girl [Candy Girl].mp3,,232000,Music,,10000,0,20000,0,320,Unknown,1983,1.0,3:52
Luther Vandross - If Only for One Night [The Night I Fell In Love],Z:/Old School 70s80s/Luther Vandross - If Only for One Night [The Night I Fell In Love].mp3,,246000,Music,,10000,0,20000,0,320,Not Found,1985,1.0,4:16
Soul II Soul - Keep on Movin' [Club Classics Vol. One (10th Anniversary Edition)],Z:/Old School 70s80s/Soul II Soul - Keep on Movin' [Club Classics Vol. One (10th Anniversary Edition)].mp3,,362000,Music,,10000,0,20000,0,320,Unknown,1989,1.0,6:02
